CAT,STRT,COMP,SALE,DIV,METRO,SLPR,CONPR,LOTV,CLOS,FINC,AREA,FNBS,FNSQ,DET,CON,MFGS,BEDR,FULB,HAFB,STOR,FPLS,GAR,BASE,WALS,WAL1,WAL2,DECK,PATI,PRCH,FUEL,HEAT,ACS,SQFS,WEIGHT,AREA_F,FNSQ_F,SLPR_F,CONPR_F,LOTV_F,SQFS_F,AUTH
1,199905,200001,199904,1,1,249900,0,80000,2,01,52272,2,0,1,2,3,4,2,1,2,1,2,01,2,05,10,1,2,2,04,03,1,2400,53,0,0,0,0,0,0,199904
1,199810,199904,199904,1,1,139900,0,30000,2,04,9000,1,596,1,2,1,3,2,0,1,0,4,01,2,05,10,1,2,2,01,04,2,1192,39,0,1,0,0,0,0,199810
1,0,0,200003,1,1,438600,0,0,2,01,0,2,0,1,2,3,3,2,1,2,1,2,01,2,01,10,0,0,1,02,02,1,3170,57,0,0,0,0,0,0,199910
1,199903,199906,199903,1,1,271900,0,90000,2,01,40075,2,0,1,2,3,4,2,1,2,1,2,01,2,05,10,2,2,1,02,02,2,2376,58,0,0,0,0,0,0,199903
1,199907,199910,199907,1,1,320000,0,90000,2,01,40075,2,0,1,2,3,3,2,1,2,1,2,01,2,05,10,1,2,2,02,02,1,2600,40,0,0,0,0,0,0,199907
1,199911,0,199907,1,1,0,0,0,0,00,40247,2,0,1,2,3,4,3,1,2,1,3,01,1,05,02,2,2,2,04,03,1,3800,30,0,0,0,0,0,0,199911
1,199901,199905,199812,1,1,163000,0,63700,2,01,87120,2,0,1,2,3,3,1,0,1,1,1,01,2,05,10,2,2,2,04,03,2,1120,31,1,0,0,0,1,0,199812
1,200001,0,199911,1,1,290000,0,110000,2,01,69696,2,0,1,2,3,3,2,1,2,1,2,01,1,05,02,1,2,2,02,02,1,2808,35,0,0,0,0,0,0,199911
1,199903,199907,199812,1,1,219900,0,65000,2,01,33604,2,0,1,2,3,3,2,1,2,1,2,01,2,05,10,1,2,1,02,02,1,2200,72,0,0,0,0,0,0,199903
1,200004,0,0,1,1,0,0,0,0,00,0,0,0,1,0,0,0,9,9,0,9,0,00,0,00,00,0,0,0,00,00,0,0,18,0,0,0,0,0,0,199911
1,199909,200004,199909,1,1,635000,0,0,2,04,17541,2,0,1,2,3,3,3,1,2,2,2,01,2,01,10,1,1,2,02,02,1,3888,61,0,0,1,0,0,0,199909
1,199905,199912,199912,1,1,0,0,0,0,01,40000,2,0,1,2,3,4,2,1,2,1,2,01,2,05,10,1,2,1,04,03,1,3240,27,0,0,0,0,0,0,199905
1,199902,199904,199905,1,1,376000,0,135000,2,01,58532,2,0,1,2,3,4,2,1,2,1,3,01,2,05,10,1,2,2,04,02,2,2500,19,0,0,0,0,0,0,199902
1,199810,199903,199901,1,1,0,0,0,0,01,8000,0,0,2,2,3,2,1,1,2,0,4,03,2,05,10,2,2,2,02,02,2,1100,39,0,0,0,0,0,0,199809
1,199910,0,200002,1,1,260000,0,101600,1,01,6800,2,0,1,2,3,3,2,1,2,0,1,01,2,05,10,1,2,2,02,03,2,2160,19,0,0,0,0,1,0,199908
1,199912,0,199911,1,1,635000,0,0,2,01,25275,1,0,1,2,3,4,3,1,2,2,3,01,2,01,10,1,1,2,02,02,1,6227,47,0,0,1,0,0,1,199911
1,199905,199910,199907,1,1,300000,0,85000,2,01,21780,2,0,1,2,3,4,2,1,2,1,2,01,2,05,10,1,2,2,04,03,1,2436,27,0,0,0,0,0,0,199905
1,199910,200003,199912,1,1,250900,0,55000,2,01,34138,2,0,1,2,3,3,2,1,2,1,2,01,2,05,10,1,2,1,02,02,1,2300,72,0,0,0,0,0,0,199903
1,199903,0,199908,1,1,489700,0,0,2,01,0,2,0,2,2,3,3,2,1,2,1,2,01,2,01,10,1,2,1,02,02,1,2768,48,0,0,0,0,0,0,199903
1,199812,199904,199811,1,1,265300,0,80000,2,01,18500,2,0,1,2,3,4,2,1,2,1,2,01,2,01,10,1,2,2,02,03,2,2096,31,0,0,0,0,0,0,199812
1,199905,199909,199905,1,1,164900,0,40000,2,01,11094,0,0,1,2,3,3,2,1,2,1,1,03,2,05,10,2,2,2,02,02,1,1680,54,0,0,0,0,0,0,199905
1,199812,199911,199909,1,1,147500,0,57600,2,01,87120,1,500,1,2,3,3,2,1,2,1,2,01,2,05,10,1,2,2,04,02,2,1728,39,0,0,0,0,1,0,199811
1,199807,199905,199904,1,1,379000,0,125000,2,01,65340,2,0,1,2,3,4,2,1,2,1,2,01,2,01,10,1,2,2,04,02,1,3462,31,0,0,0,0,0,0,199807
1,199908,199912,199908,1,1,467500,0,120000,2,01,10468,2,0,1,2,3,4,2,1,2,1,2,01,2,01,10,1,2,2,02,02,1,3024,20,0,0,0,0,0,0,199907
1,199812,199904,199812,1,1,398000,0,155500,2,01,57063,1,1000,1,2,3,4,3,1,2,2,2,01,2,05,10,1,2,1,04,03,1,4700,26,0,0,0,0,1,0,199812
1,199903,200002,199903,1,1,635000,0,0,2,04,57000,2,0,1,2,3,4,2,1,2,2,2,01,1,01,02,2,2,2,04,03,1,4039,18,0,0,1,0,0,0,199903
1,199805,199905,199904,1,1,635000,0,0,2,01,87120,2,0,1,2,3,4,3,1,2,1,3,01,1,02,05,1,2,2,04,03,1,4844,21,1,0,1,0,0,0,199805
1,199811,199905,199902,1,1,330000,0,95000,2,01,25000,2,0,1,2,3,4,2,1,2,1,2,01,2,05,10,1,2,2,02,02,1,2300,39,0,0,0,0,0,0,199810
1,199808,199902,199805,1,1,368500,0,0,2,01,0,1,800,2,2,3,3,3,0,1,1,2,01,2,01,10,1,2,1,02,02,1,2700,52,0,0,0,0,0,0,199808
1,199809,200002,199908,1,1,450000,0,100000,2,00,54450,2,0,1,2,3,4,2,1,2,1,2,01,2,01,10,1,1,2,04,02,2,3240,39,0,0,0,0,0,0,199808
1,199909,200001,199908,1,1,186000,0,65000,2,01,78408,1,460,1,2,3,3,2,0,2,1,2,01,2,05,10,1,2,2,04,03,2,2009,76,0,0,0,0,0,0,199908
1,199909,0,199909,1,1,635000,0,0,2,04,13237,1,1000,1,2,3,3,3,1,2,2,2,01,2,01,10,1,1,2,02,03,1,3888,61,0,0,1,0,0,0,199909
1,199909,199911,199910,1,1,0,0,0,0,00,40511,2,0,1,2,3,3,2,1,2,0,2,01,2,05,10,1,2,2,02,03,0,2592,46,0,0,0,0,0,0,199909
1,199909,0,199909,1,1,0,0,0,0,00,62210,2,0,1,2,3,4,2,1,2,1,2,01,2,05,10,1,2,2,04,02,1,3335,21,0,0,0,0,0,0,199909
1,199903,199908,199901,1,1,253000,0,85000,2,01,22481,2,0,1,2,3,4,2,1,2,1,2,01,2,01,10,1,2,2,02,03,2,2184,30,0,0,0,0,0,0,199902
1,199807,199904,199812,1,1,0,0,0,0,01,8712,2,0,2,1,3,2,2,1,2,1,2,01,2,01,10,1,2,2,04,02,1,1944,21,0,0,0,0,0,0,199805
