,CentralAir-conditioning,Age-Restricted,CommunityAssociation,Foundation,Condominium,Deck,DesignofHouse,Division,TypeofFinancing,FinishedBasement,Two-StoryFoyer,FramingMaterial,ParkingFacility,PrimarySpaceHeatingSystem,SecondSpaceHeatingSystem,LaundryLocation,MetropolitanArea,ConstructionMethod,Patio,Porch,SewageDisposalSystem,Stories,PrimaryExteriorWallMaterial,SecondaryExteriorWallMaterial,SecondaryExteriorWallMaterial,WaterSupplySource,Bedrooms,Fireplace,FullBathrooms,HalfBathrooms,SaleDate,Weight,PrimarySpaceHeatingFuel,SecondSpaceHeatingFuel,FinalSquareFootAreaofFinishedBasementatCompletionFlag,FinalSalesPriceFlag,FinalContractPriceFlag,FinalSquareFootAreaofHouseatCompletionFlag,PermitValueFlag,SalesPrice,FinalContractPriceatCompletion,FinalSalesPriceatCompletion,Permitvalue,SquareFootAreaofHouse,FinalSquareFootAreaofHouseatCompletion,LotValue,SquareFootAreaofFinishedBasement,FinalSquareFootAreaofFinishedBasementatCompletion,SquareFootAreaoftheLot
3452,1.0,2.0,1.0,2.0,2.0,2.0,1.0,5,1.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,1,3.0,2.0,1.0,1,2.0,4.0,7.0,1.0,1.0,5.0,1.0,3.0,1.0,201803,29,2.0,1.0,0,0,0,0,0,376000.0,0,376000,190000,4300.0,4300,65000.0,0.0,0,15200.0
3609,1.0,2.0,1.0,3.0,2.0,2.0,2.0,5,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,1,3.0,2.0,1.0,1,2.0,4.0,7.0,1.0,1.0,3.0,1.0,3.0,0.0,201805,72,1.0,2.0,0,0,0,0,0,407000.0,0,407000,185000,2600.0,2600,60000.0,0.0,0,4400.0
3717,1.0,2.0,1.0,1.0,2.0,2.0,1.0,5,2.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,1,3.0,2.0,2.0,1,2.0,4.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,201707,57,2.0,2.0,0,0,0,0,0,473000.0,0,473000,150000,5000.0,0,90000.0,1400.0,0,10100.0
4162,1.0,2.0,1.0,2.0,2.0,1.0,1.0,5,1.0,0.0,1.0,1.0,2.0,1.0,4.0,3.0,1,3.0,2.0,1.0,2,2.0,4.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,201810,37,1.0,3.0,0,0,0,0,0,644000.0,0,0,325000,4500.0,0,90000.0,0.0,0,87120.0
4171,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1,2.0,2.0,1.0,1,2.0,2.0,8.0,1.0,1.0,3.0,0.0,3.0,1.0,201808,38,1.0,2.0,0,0,0,0,0,382000.0,0,0,0,2100.0,0,55000.0,650.0,0,2000.0
4380,1.0,2.0,2.0,3.0,2.0,1.0,1.0,5,1.0,0.0,2.0,1.0,3.0,2.0,1.0,3.0,1,3.0,1.0,1.0,1,2.0,7.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,201802,26,2.0,1.0,0,0,0,0,0,508000.0,0,500000,391000,3200.0,3200,92000.0,0.0,0,4000.0
4410,1.0,2.0,1.0,2.0,2.0,2.0,1.0,5,3.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,1,3.0,1.0,1.0,1,2.0,2.0,5.0,1.0,1.0,3.0,1.0,2.0,0.0,201805,42,2.0,2.0,0,0,0,0,0,273000.0,0,0,159000,2800.0,0,40000.0,0.0,0,34800.0
4454,1.0,2.0,1.0,3.0,2.0,1.0,2.0,5,4.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,1,3.0,1.0,2.0,1,2.0,2.0,8.0,1.0,1.0,3.0,2.0,3.0,1.0,201801,114,2.0,1.0,0,0,0,0,0,527000.0,0,527000,320000,3300.0,3300,105000.0,0.0,0,4400.0
4906,1.0,2.0,1.0,2.0,2.0,2.0,1.0,5,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,1,3.0,1.0,1.0,1,2.0,2.0,8.0,1.0,1.0,3.0,1.0,2.0,1.0,201801,38,2.0,1.0,0,0,0,0,0,508000.0,0,0,247000,3200.0,0,100000.0,0.0,0,9600.0
5205,1.0,2.0,1.0,1.0,2.0,2.0,1.0,5,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1,2.0,2.0,2.0,1,2.0,4.0,7.0,1.0,1.0,4.0,1.0,3.0,1.0,201806,70,2.0,1.0,0,0,0,0,0,638000.0,0,633000,0,4600.0,4600,157000.0,1200.0,1200,9400.0
